名字,日期,总场次,废场,人次,上座率,票价
羞羞的铁拳,20171007,40036,37776,184.9万,28.69%,35
猩球崛起：终极之战,20170915,42390,40987,181.78万,27.1%,35.6
魔兽,20160611,42529,5999,133.76万,18.99%,48.4
猩球崛起：终极之战,20170916,40341,42891,176.47万,28.01%,36.5
毒液：致命守护者,20181111,48125,94605,165.22万,22.43%,38.7
京城81号2,20170707,40140,8573,175.68万,62.01%,36.4
海王,20181207,47802,76663,162.45万,21.88%,39.4
煎饼侠,20150719,19132,1062,161.91万,57.05%,39.5
飞驰人生,20190206,24368,57097,134.86万,43.3%,47.4
港囧,20151002,22703,1830,155.84万,41.86%,41
捉妖记,20150726,16751,577,133.69万,44.27%,47.2
我不是药神,20180710,53272,92549,177.57万,23.05%,35.6
复仇者联盟2：奥创纪元,20150515,27347,2322,126.24万,28.14%,49.9
羞羞的铁拳,20171006,38882,37952,180.7万,29.01%,34.8
后来的我们,20180501,47021,70760,179.23万,25.69%,35
功夫熊猫3,20160131,42317,0,132.58万,19.19%,47.4
捉妖记,20150717,17028,1353,135.56万,46.75%,46.3
老炮儿,20160101,15647,0,152.42万,65.77%,41.1
蚁人2：黄蜂女现身,20180825,41853,62107,158.19万,23.62%,39.6
建军大业,20170727,42792,7891,189.6万,33.88%,33
生化危机6：终章,20170225,38059,37259,165.78万,33.51%,37.7
变形金刚5：最后的骑士,20170706,39441,12860,174.76万,48.51%,35.7
我不是药神,20180715,44300,64531,173.01万,27.99%,35.9
阿丽塔：战斗天使,20190222,46353,84226,151.44万,21.44%,40.9
新木乃伊,20170615,47696,23218,177.56万,39.57%,34.9
悟空传,20170723,33448,4966,167.07万,36.83%,37
中国机长,20191003,31428,83703,151.59万,38.19%,40.7
疯狂的外星人  2D,20190209,28280,59792,134.91万,36.9%,45.7
寻龙诀,20151227,17686,741,127.82万,45.22%,48.1
京城81号2,20170708,38688,10529,168.29万,62.29%,36.5
蜘蛛侠：英雄归来,20170909,38900,58843,165.76万,27.66%,37
功夫瑜伽,20170129,18804,1988,154.94万,82.78%,39.5
速度与激情8,20170417,62487,54738,154.81万,26.32%,39.6
新木乃伊,20170614,48668,24456,175.28万,37.91%,34.9
